"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
29,1000,"GAUSS",0.237025701292424,0.0186533808223172,FALSE,TRUE,NA,NA,NA,NA,0.328119657611535,4.08623652216056e-05,FALSE,TRUE,0.925473058049871,0.197076614945613,FALSE,FALSE,0.105767124644015,0.170887472603539,0.0413169803337423,0.179230093487104,NA,NA,NA,NA,NA,NA,NA
30,1000,"GAUSS",0.118898873647716,0.367962207313573,FALSE,FALSE,NA,NA,NA,NA,0.0510959949577501,0.00356764726062597,FALSE,TRUE,0.0471346239625278,0.33339407016451,TRUE,FALSE,0.163901719651715,0.136449315074734,0.591366115395274,0.0441789197103479,NA,NA,NA,NA,NA,NA,NA
31,1000,"GAUSS",0.199710492774859,0.0734688300913735,FALSE,FALSE,NA,NA,NA,NA,0.337283886306859,0.00149283483833462,FALSE,TRUE,0.0585812434819716,0.31091888382354,FALSE,FALSE,0.484929510438656,0.397157717119308,0.23839102822507,0.166234132836044,NA,NA,NA,NA,NA,NA,NA
32,1000,"GAUSS",0.331054355336386,0.00107044590293477,FALSE,TRUE,NA,NA,NA,NA,0.41027194438188,3.14457955297165e-06,FALSE,TRUE,0.522642026852292,0.0119117953107293,FALSE,TRUE,0.0657688142871911,0.768151735907546,0.828524429638117,0.113691737272984,NA,NA,NA,NA,NA,NA,NA
33,1000,"GAUSS",0.243784929536977,0.139398874306018,FALSE,FALSE,NA,NA,NA,NA,0.31916639186884,0.000177182963874145,FALSE,TRUE,0.161350083308508,0.289223573339111,FALSE,FALSE,0.942183220654099,0.873989324552012,0.419785772845327,0.558296002876268,NA,NA,NA,NA,NA,NA,NA
34,1000,"GAUSS",0.355668804456811,0.00339829036931373,FALSE,TRUE,NA,NA,NA,NA,0.466935421760509,3.78797234912298e-05,FALSE,TRUE,0.311678766837192,0.0541343859155509,FALSE,FALSE,0.154600398261656,0.575548333323087,0.494730199511909,0.226795651971679,NA,NA,NA,NA,NA,NA,NA
35,1000,"GAUSS",0.429917953255392,0.0760897749898802,FALSE,FALSE,NA,NA,NA,NA,0.618110584637491,0.0150906806678432,FALSE,TRUE,0.234859340609827,0.1195967579371,FALSE,FALSE,0.473740308601337,0.705070275076253,0.733278149530339,0.35076410620359,NA,NA,NA,NA,NA,NA,NA
36,1000,"GAUSS",0.694349423159413,0.102076024328393,FALSE,FALSE,NA,NA,NA,NA,0.524303399103723,0.0676078041503776,FALSE,FALSE,0.971367461329731,0.317655326522033,FALSE,FALSE,0.232650654150789,0.134527248422794,0.860745777634808,0.720545003493694,NA,NA,NA,NA,NA,NA,NA
37,1000,"GAUSS",0.0547015820184006,0.171255730228199,FALSE,FALSE,NA,NA,NA,NA,0.483533623667417,0.00504606206142488,FALSE,TRUE,0.268598224860879,0.587451003772825,FALSE,FALSE,0.178627277512121,0.581980505362135,0.777836143187314,0.416162308172398,NA,NA,NA,NA,NA,NA,NA
38,1000,"GAUSS",0.857687758202541,0.0366923179985549,FALSE,TRUE,NA,NA,NA,NA,0.692795495739327,1.31067663300399e-06,FALSE,TRUE,0.632830999323065,0.0514591567021173,FALSE,FALSE,0.0806399638495578,0.829139873073403,0.936160121524906,0.496383296705065,NA,NA,NA,NA,NA,NA,NA
