"bin","parent_mid","cond_mean","cond_var","n_obs","dataset","edge"
11,10.6195082761971,36.6803064215034,77.9876891204441,1666,"B (Nonparanormal)","Z2 -> Z3"
12,11.3227452798822,38.4257056491731,78.1905154876776,1667,"B (Nonparanormal)","Z2 -> Z3"
13,12.035361724571,40.6410620683837,84.700772199184,1667,"B (Nonparanormal)","Z2 -> Z3"
14,12.7850145670829,42.9664526672704,92.8134652745445,1666,"B (Nonparanormal)","Z2 -> Z3"
15,13.5294449575121,45.1764607450702,104.210251171864,1667,"B (Nonparanormal)","Z2 -> Z3"
16,14.272245194189,47.2128567590717,116.113257201525,1667,"B (Nonparanormal)","Z2 -> Z3"
17,15.0777639592799,49.9623326608807,115.750835085347,1666,"B (Nonparanormal)","Z2 -> Z3"
18,15.9176716785709,52.4353689147485,133.370282746263,1667,"B (Nonparanormal)","Z2 -> Z3"
19,16.8280176135474,54.9025710286042,138.916040302944,1667,"B (Nonparanormal)","Z2 -> Z3"
20,17.7957520578637,57.3148909164852,140.903646592649,1666,"B (Nonparanormal)","Z2 -> Z3"
21,18.8319719626333,60.8937104182007,157.695331915857,1667,"B (Nonparanormal)","Z2 -> Z3"
22,19.9570804658145,64.2814138734016,168.382071620189,1666,"B (Nonparanormal)","Z2 -> Z3"
23,21.1989221445426,67.3873328893533,175.820639223838,1667,"B (Nonparanormal)","Z2 -> Z3"
24,22.5462568684749,71.8103768076481,203.925322651554,1667,"B (Nonparanormal)","Z2 -> Z3"
25,24.1105938270883,76.6048674419624,205.186755906303,1666,"B (Nonparanormal)","Z2 -> Z3"
26,25.9613905183319,82.727668342183,237.546981191072,1667,"B (Nonparanormal)","Z2 -> Z3"
27,28.2787065943156,88.4812853447152,274.207138265785,1667,"B (Nonparanormal)","Z2 -> Z3"
28,31.45233717943,97.5345031437051,315.990678001512,1666,"B (Nonparanormal)","Z2 -> Z3"
29,36.1133124997779,110.821187996586,369.201958642613,1667,"B (Nonparanormal)","Z2 -> Z3"
30,47.3277776940987,143.586692736802,990.590953132979,1667,"B (Nonparanormal)","Z2 -> Z3"
