"replication_id","N","simulator","gcm_null_p","gcm_alt_p","gcm_null_reject","gcm_alt_reject","kci_null_p","kci_alt_p","kci_null_reject","kci_alt_reject","rcot_null_p","rcot_alt_p","rcot_null_reject","rcot_alt_reject","pcor_null_p","pcor_alt_p","pcor_null_reject","pcor_alt_reject","ks_Z1_p","ks_Z2_p","ks_Z3_p","ks_Y_p","delta_Z1_mean_abs","delta_Z2_mean_abs","delta_Z3_mean_abs","delta_Z2_mean_abs_tail","delta_Z3_mean_abs_tail","delta_Z2_mean_abs_mid","delta_Z3_mean_abs_mid"
89,1000,"BN",0.701673920237126,0.847191356826164,FALSE,FALSE,NA,NA,NA,NA,0.512215213677937,0.104595947550522,FALSE,FALSE,0.659566369149831,0.289886242515329,FALSE,FALSE,0.180286428266609,0.359794515601326,0.468988668242326,0.568490000021459,1.30284238258893e-17,0.21265025102141,0.262392107570836,0.16071560542116,0.267525630334571,0.218292817838288,0.261865737541037
90,1000,"BN",0.889406012116874,0.84270932470893,FALSE,FALSE,NA,NA,NA,NA,0.601895140168958,0.0182451246756203,FALSE,TRUE,0.370652478923923,0.119948133096964,FALSE,FALSE,0.93190786081407,0.821818622612144,0.899583252340809,0.636101913876985,1.26049344573165e-17,0.212793089677368,0.266683065357404,0.167508787044064,0.329664424499659,0.217768834361827,0.260301694166779
91,1000,"BN",0.596507175067339,0.104619469132436,FALSE,FALSE,NA,NA,NA,NA,0.881703671362002,0.0250847268198893,FALSE,TRUE,0.318035794108772,0.000307891508949535,FALSE,TRUE,0.599418238741943,0.689117210810752,0.937342264978489,0.410510150997741,1.29404679246464e-17,0.207410292346776,0.272969733838789,0.169714739679929,0.298758666394549,0.211738767179201,0.270294060924616
92,1000,"BN",0.578443179525354,0.572344914138413,FALSE,FALSE,NA,NA,NA,NA,0.366168126031949,0.0338127212249371,FALSE,TRUE,0.415927916270322,0.410650623771211,FALSE,FALSE,0.82086880608832,0.891248719963837,0.997301849141979,0.892532717801408,1.22598329058143e-17,0.205337079654262,0.263592263685363,0.160140528096333,0.299046528279951,0.210695954894911,0.260425325017873
93,1000,"BN",0.00790515253870416,0.404473452465215,TRUE,FALSE,NA,NA,NA,NA,0.207990782528483,0.0110749498978728,FALSE,TRUE,0.0603177417442151,0.761624971724023,FALSE,FALSE,0.573893420525156,0.726651443877846,0.531348925164411,0.136878350193186,1.22848779759988e-17,0.207554362557508,0.258275501743942,0.132340896659054,0.259641911618001,0.216097540198535,0.258106619624676
94,1000,"BN",0.041632154520593,0.115773193304033,TRUE,FALSE,NA,NA,NA,NA,0.280606554340843,0.0112773084312801,FALSE,TRUE,0.00104347212113772,0.114517702967564,TRUE,FALSE,0.868592342844051,0.414827914160329,0.283751245248056,0.304466400901746,1.38661326344602e-17,0.212307560745252,0.261148742055664,0.184695263520184,0.279872619263138,0.2157552154044,0.259114440540883
95,1000,"BN",0.955337307852158,0.148125398187998,FALSE,FALSE,NA,NA,NA,NA,0.919846421205895,0.000726675847132374,FALSE,TRUE,0.9681589958032,0.781818345355946,FALSE,FALSE,0.95336025306385,0.957974083121075,0.924585741324292,0.986230226893623,1.27616016712406e-17,0.208309087086208,0.262805372145022,0.157108246688329,0.289224677329368,0.214315889590987,0.259999782213941
96,1000,"BN",0.472662383005027,0.107102918065522,FALSE,FALSE,NA,NA,NA,NA,0.265714438687908,0.00721477060488507,FALSE,TRUE,0.615102014519034,0.00300940767690355,FALSE,TRUE,0.821442308300631,0.123579385498352,0.410274259267507,0.946703048843999,1.22753369968809e-17,0.210324332896578,0.257436901631212,0.134796281368303,0.300449273961868,0.217160568749192,0.253130932564007
97,1000,"BN",0.610732320560948,0.319915135430508,FALSE,FALSE,NA,NA,NA,NA,0.149152106296965,0.112107050897643,FALSE,FALSE,0.597940347945853,0.205868540064364,FALSE,FALSE,0.753890388413733,0.738243250678421,0.663457210399853,0.74744896493971,1.20654354562877e-17,0.209469311074878,0.267925474141172,0.150935074207822,0.294241224450839,0.216190633702867,0.26473926222027
98,1000,"BN",0.198322204649133,0.834472399317672,FALSE,FALSE,NA,NA,NA,NA,0.470105944695875,0.00236762553719949,FALSE,TRUE,0.755309728063819,0.36207241910759,FALSE,FALSE,0.0122394181257537,0.0440861977948814,0.281521668000174,0.0575731045108643,1.27987898057569e-17,0.222567384211219,0.267616042724599,0.160682904718804,0.293703705010322,0.228613178585341,0.264391724914004
